Current,Volt,Power,Type
0.1394968,5.000186,0.697509946,0
0.1395023,5.000194,0.697538563,0
0.1395088,5.000203,0.69757232,0
0.1395036,5.000234,0.697550644,0
0.1394947,5.000206,0.697502236,0
0.139498,5.000185,0.697515807,0
0.1394916,5.000179,0.697482969,0
0.1394999,5.000198,0.697527121,0
0.1394957,5.000194,0.697505562,0
0.1394967,5.000188,0.697509725,0
0.1394936,5.000154,0.697489482,0
0.1394897,5.000046,0.697454917,0
0.1395059,5.000157,0.697551402,0
0.1395007,5.000167,0.697526797,0
0.1394934,5.000173,0.697491132,0
0.1394975,5.0002,0.6975154,0
0.1395086,5.000185,0.697568809,0
0.1395007,5.000216,0.697533632,0
0.1395114,5.000191,0.697583647,0
0.1395232,5.000188,0.69764223,0
0.1395126,5.000161,0.697585462,0
0.1395071,5.000203,0.69756382,0
0.1395039,5.000217,0.697549772,0
0.1395074,5.00018,0.697562111,0
0.1395176,5.000207,0.69761688,0
0.1395131,5.000173,0.697589636,0
0.1395241,5.000248,0.697655102,0
0.1395117,5.000224,0.697589751,0
0.1395203,5.000217,0.697631776,0
0.1395061,5.000174,0.697554774,0
0.1395088,5.000242,0.697577761,0
0.1395174,5.000153,0.697608346,0
0.13952,5.000144,0.697620091,0
0.1395193,5.000234,0.697629148,0
0.1395055,5.000186,0.697553448,0
0.139505,5.000238,0.697558202,0
0.1395045,5.000206,0.697551238,0
0.1395013,5.000177,0.697531192,0
0.1395085,5.000173,0.697566635,0
0.1395264,5.000329,0.697677904,0
0.1395194,5.000195,0.697624206,0
0.1395102,5.000163,0.69757374,0
0.1395089,5.000177,0.697569193,0
0.1395049,5.000243,0.6975584,0
0.139505,5.000181,0.69755025,0
0.1395025,5.0002,0.697540401,0
0.1395125,5.000165,0.69758552,0
0.1395242,5.000229,0.697652951,0
0.1395248,5.000191,0.697650649,0
0.1395207,5.000145,0.697623731,0
0.139515,5.000186,0.69760095,0
0.139518,5.000188,0.697616229,0
0.1395065,5.000193,0.697559425,0
0.1395239,5.000194,0.697646568,0
0.1395318,5.000196,0.697686348,0
0.1395229,5.000186,0.697640451,0
0.1395315,5.000214,0.69768736,0
0.1395211,5.00018,0.697630614,0
0.1395169,5.000182,0.697609892,0
0.1394906,5.000206,0.697481735,0
0.139513,5.000283,0.697604482,0
0.1395096,5.00022,0.697578692,0
0.139508,5.000204,0.69756846,0
0.1395304,5.000196,0.697679348,0
0.1395287,5.000211,0.697672941,0
0.1395249,5.000206,0.697653242,0
0.1395254,5.000195,0.697654207,0
0.1395156,5.000187,0.697604089,0
0.1395261,5.000202,0.697658684,0
0.1395207,5.000181,0.697628753,0
0.1395233,5.000196,0.697643847,0
0.1395401,5.000194,0.697727571,0
0.1395328,5.000205,0.697692604,0
0.1395367,5.000188,0.697709733,0
0.1395228,5.000191,0.697640649,0
0.1395314,5.0002,0.697684906,0
0.139523,5.000206,0.697643742,0
0.1395461,5.000189,0.697756874,0
0.1395419,5.000186,0.697735455,0
